,id,coin,address,tag,method,txid,size,fee,status,time,notes,destinationName,sentTime,confirmedTime,confirmations,account,exchange
35,20383716,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,103fba20cd9e73c04b81e20423ee98979e4af5d422f3d966d376b0a71bac1163,7000000.0,0.0,confirmed,2022-05-10T03:21:15.022241+00:00,,,2022-05-10T03:21:15.042401+00:00,2022-05-10T03:23:16.902682+00:00,3.0,10003,ftx
36,20382881,MATIC,"{'address': '0x8E59558B73A92572834169Dc0096df9E42168B57', 'tag': None, 'method': 'erc20', 'coin': None}",,matic,0xf4fd870a00575162ebd1167054414a5a26db332027f10287950ef050b01712e6,200.0,0.0,confirmed,2022-05-10T03:11:28.302911+00:00,,,2022-05-10T03:10:56+00:00,2022-05-10T03:13:29.012782+00:00,26.0,10003,ftx
37,20382045,TRX,"{'address': 'TMcvPro1vsDis5VX8d4pNTroyugXoAK8mf', 'tag': None, 'method': 'trx', 'coin': None}",,trx,ca38089256771e0254b2d62a149970e7352c63041fd1fed64c5e51af34193ce5,6250000.0,0.0,confirmed,2022-05-10T02:56:30.462162+00:00,,,2022-05-10T02:56:06+00:00,2022-05-10T02:58:32.409016+00:00,26.0,10003,ftx
38,20381765,TRX,"{'address': 'TMcvPro1vsDis5VX8d4pNTroyugXoAK8mf', 'tag': None, 'method': 'trx', 'coin': None}",,trx,2eca4d0be9615a61c5c53efb24a6fc2d06d9f9d1e6cbd222ee36a252c80a1e20,1e-06,0.0,confirmed,2022-05-10T02:53:01.986566+00:00,,,2022-05-10T02:52:33+00:00,2022-05-10T02:55:01.325129+00:00,27.0,10003,ftx
39,20381763,TRX,"{'address': 'TMcvPro1vsDis5VX8d4pNTroyugXoAK8mf', 'tag': None, 'method': 'trx', 'coin': None}",,trx,bc25f41b436cd189db488a5b40127fb89ec78c22516dfd2081a33295e174e3c9,6000.0,0.0,confirmed,2022-05-10T02:53:01.978847+00:00,,,2022-05-10T02:52:30+00:00,2022-05-10T02:55:01.326851+00:00,28.0,10003,ftx
40,20339721,LTC,"{'address': 'MJD4v27Sjr4FwbodFSG9bZcHFXBUfkGGEi', 'tag': None, 'method': 'ltc', 'coin': None}",,ltc,359d51b934231eb3f7a184895803596fd3ffa5871e9d5e03713e4d8ab09c20f7,0.94706412,0.0,confirmed,2022-05-09T15:12:23.100241+00:00,,,2022-05-09T15:14:39+00:00,2022-05-09T15:15:24.951896+00:00,2.0,10003,ftx
41,20339701,BTC,"{'address': '337ne45ueXx2iAR1gNAqxnwsCGuLquCLnh', 'tag': None, 'method': 'btc', 'coin': None}",,btc,7ab020587bdb0083fab55d4812addf47b110286b58b080927c8fc7b7de6cec1a,1.89906652,0.0,confirmed,2022-05-09T15:11:58.165534+00:00,,,2022-05-09T15:11:56+00:00,2022-05-09T15:15:05.954894+00:00,2.0,10003,ftx
42,20339686,XRP,"{'address': 'rPFXvVo2fYXVPdV9gCHQouHsMgMhQ2aUwM', 'tag': '3680179910', 'method': 'xrp', 'coin': None}",,xrp,952D61F3373A50166DEB305C68BD3F50135A6980AA169958C625828CA51894CE,3813.62364,0.0,confirmed,2022-05-09T15:11:45.108413+00:00,,,2022-05-09T15:11:31+00:00,2022-05-09T15:13:45.943038+00:00,1.0,10003,ftx
43,20295847,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,8a7082882bc7cfe4890ed19c00fdac9152a5d9444774c775b926ed2a650a5e70,690000.0,0.0,confirmed,2022-05-09T02:54:25.909227+00:00,,,2022-05-09T02:54:25.924125+00:00,2022-05-09T02:56:26.844406+00:00,3.0,10003,ftx
44,20294520,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,956955ca84bed58157123a8379448ab132ecd399ab9ab8354248c84f2c170212,311920.0,0.0,confirmed,2022-05-09T02:23:55.488366+00:00,,,2022-05-09T02:23:55.518755+00:00,2022-05-09T02:25:55.923959+00:00,3.0,10003,ftx
45,20294077,LUNA,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,907d9a25bd28fdba16bed8ba67c3e4db9b88583a29ced5808efdca93622dcd53,5.648123,0.0,confirmed,2022-05-09T02:13:27.476390+00:00,,,2022-05-09T02:13:27.491866+00:00,2022-05-09T02:15:28.429699+00:00,3.0,10003,ftx
46,20291575,USDT,"{'address': '0x8E59558B73A92572834169Dc0096df9E42168B57', 'tag': None, 'method': 'erc20', 'coin': None}",,erc20,0x6e904b2ec7ccbca6e10e0391501309dc105fec77287fee48c8da027167d0c9e8,113503.590092,0.0,confirmed,2022-05-09T01:10:47.380739+00:00,,,2022-05-09T01:10:47.401398+00:00,2022-05-09T01:12:48.446218+00:00,11.0,10003,ftx
47,20268677,ETH,"{'address': '0xaB4Bfe506a3Cb36ADDf97678293bD429B9951726', 'tag': None, 'method': 'eth', 'coin': None}",,eth,0x8515addedb09d38dddc50085fb4b122cb842cf5f6e0df3f8edbff7e8a1308ad1,0.01963459,0.0,confirmed,2022-05-08T15:13:48.074691+00:00,,,2022-05-08T15:13:04+00:00,2022-05-08T15:16:49.434236+00:00,10.0,10003,ftx
48,20268583,XRP,"{'address': 'rPFXvVo2fYXVPdV9gCHQouHsMgMhQ2aUwM', 'tag': '3680179910', 'method': 'xrp', 'coin': None}",,xrp,593CAF64C0D280A02B3D5553F759B4E1F66DBC65256AEAE56D8F6F4BAA231EFB,153.566721,0.0,confirmed,2022-05-08T15:11:57.157280+00:00,,,2022-05-08T15:11:31+00:00,2022-05-08T15:13:57.433941+00:00,1.0,10003,ftx
